Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level
TikTok,#Challenge,Video,UK,4163464,339431,53135,19346,High
Instagram,#Education,Shorts,India,4155940,215240,65860,27239,Medium
Twitter,#Challenge,Video,Brazil,3666211,327143,39423,36223,Medium
YouTube,#Education,Shorts,Australia,917951,127125,11687,36806,Low
TikTok,#Dance,Post,Brazil,64866,171361,69581,6376,Medium
Instagram,#Challenge,Shorts,Australia,1323566,136282,86979,47129,Low
YouTube,#Comedy,Tweet,Japan,627233,84121,97973,32648,Medium
YouTube,#Gaming,Shorts,UK,2066886,317502,45222,33638,High
Twitter,#Education,Live Stream,India,2169523,496078,96041,30174,Medium
TikTok,#Gaming,Shorts,India,3898384,8634,69378,42700,Low
Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242,High
Twitter,#Music,Reel,Australia,4585669,465871,69083,8999,Medium
YouTube,#Viral,Shorts,Canada,4105651,195560,37627,49089,High
YouTube,#Fitness,Reel,Japan,1633015,312907,45774,30725,High
Twitter,#Comedy,Post,Germany,2471790,370802,54110,17081,High
YouTube,#Gaming,Live Stream,Canada,3079923,124237,44062,26702,Medium
Twitter,#Dance,Reel,UK,294870,213142,20351,20767,Low
TikTok,#Tech,Shorts,UK,2051091,24472,54704,41737,Medium
TikTok,#Fashion,Post,USA,3461154,165335,50077,19505,Low
YouTube,#Education,Tweet,UK,3143932,298685,84720,37162,Low
Twitter,#Gaming,Video,Brazil,14095,268310,90495,16968,Low
TikTok,#Viral,Live Stream,USA,3924406,35376,72832,3949,Medium
YouTube,#Dance,Shorts,Brazil,599766,223690,22531,10538,Low
Twitter,#Education,Shorts,Japan,4357851,449803,63438,28280,High
YouTube,#Dance,Tweet,Germany,731492,474649,98377,3654,High
YouTube,#Dance,Live Stream,Brazil,4910814,197287,53218,14896,Low
Instagram,#Gaming,Video,India,4369260,212278,21264,18172,Low
YouTube,#Tech,Post,Canada,1874437,322601,35671,48768,Medium
Instagram,#Gaming,Live Stream,Canada,1653907,91836,77370,2823,Low
YouTube,#Education,Shorts,Japan,4683280,311330,3357,5110,Medium
Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303,Low
Twitter,#Music,Video,USA,2342195,91944,89578,44440,Medium
YouTube,#Gaming,Live Stream,USA,4977438,8731,4500,46045,Low
YouTube,#Viral,Reel,Australia,3005703,16688,77970,15891,Low
YouTube,#Education,Tweet,UK,936390,368646,92202,2016,Low
TikTok,#Education,Live Stream,Japan,1855796,158156,6423,20518,High
Instagram,#Music,Reel,Germany,48908,205884,37256,14618,Low
Instagram,#Dance,Video,India,1367820,10794,7617,36639,Medium
TikTok,#Gaming,Shorts,USA,4499253,469481,89583,41549,High
Twitter,#Comedy,Post,USA,4510477,274631,82143,13932,Low
Twitter,#Education,Reel,India,4380015,355402,41860,42729,High
YouTube,#Fashion,Live Stream,Australia,943395,402996,18661,11999,High
Twitter,#Comedy,Post,Brazil,3961278,49656,93072,23952,Medium
YouTube,#Comedy,Shorts,Brazil,4080112,171609,17994,41339,Medium
Twitter,#Comedy,Shorts,Germany,3934142,380972,42858,26194,Low
Instagram,#Gaming,Tweet,Brazil,272327,274271,56073,17526,High
Instagram,#Tech,Reel,Japan,1600237,325368,62818,25686,Medium
Instagram,#Dance,Live Stream,India,2212857,74624,24137,35546,Medium
Twitter,#Gaming,Live Stream,USA,4711157,313821,86074,36395,High
Instagram,#Fashion,Reel,Japan,2747788,422463,21545,40997,Low
YouTube,#Dance,Post,Australia,2081426,225061,67840,28774,Medium
YouTube,#Music,Live Stream,Canada,2258494,159509,25505,8605,Medium
YouTube,#Comedy,Tweet,Japan,1357850,472399,90644,33331,Low
Twitter,#Fitness,Reel,Canada,392337,332566,43169,45161,Medium
Twitter,#Dance,Reel,USA,4006009,491965,60534,31438,High
YouTube,#Fitness,Tweet,Australia,3934991,389693,81891,32967,Medium
Instagram,#Challenge,Live Stream,Australia,2824818,34126,53516,29452,Low
Twitter,#Dance,Video,Australia,197986,184395,9408,7599,Medium
YouTube,#Challenge,Post,Germany,2291491,474568,83894,6150,High
Twitter,#Music,Live Stream,UK,3525573,40967,4121,26381,Low
TikTok,#Music,Reel,USA,866896,122451,79602,25491,Low
YouTube,#Tech,Video,Australia,4104535,331535,60374,13314,Medium
TikTok,#Dance,Tweet,India,2601441,93254,55921,48758,Low
Instagram,#Gaming,Shorts,Canada,1142030,212596,72334,18,High
YouTube,#Fashion,Shorts,Canada,2969591,358102,26688,8128,Low
TikTok,#Education,Post,Japan,855465,14117,73654,46422,High
YouTube,#Viral,Video,Brazil,4453459,376054,36502,19620,High
Twitter,#Dance,Reel,Japan,1059696,75851,99754,47614,High
Twitter,#Fitness,Tweet,USA,581577,341805,67524,485,High
YouTube,#Fitness,Tweet,Australia,4226427,421149,53769,27804,Medium
Twitter,#Dance,Reel,Japan,485214,50577,92342,43775,Medium
Instagram,#Education,Tweet,Australia,1419701,68719,98115,36515,Low
TikTok,#Fashion,Post,Germany,4378457,136878,89273,41624,Medium
TikTok,#Music,Post,India,3647159,216783,79133,7687,High
YouTube,#Gaming,Video,USA,1750105,125485,942,20317,Low
Instagram,#Dance,Tweet,India,1796369,145118,68421,16720,High
Twitter,#Fitness,Shorts,India,1535141,15408,23087,23147,Medium
Twitter,#Challenge,Video,Australia,612594,132163,29340,40557,Medium
Instagram,#Challenge,Reel,USA,4219632,171996,5043,3436,Medium
Twitter,#Viral,Shorts,Japan,3994554,241425,99422,41307,High
Instagram,#Challenge,Shorts,India,4290853,211176,66264,14337,Medium
Instagram,#Dance,Live Stream,Australia,284772,338933,22771,18899,Low
Instagram,#Gaming,Live Stream,Japan,4637078,219517,5831,32657,Low
Instagram,#Comedy,Shorts,Brazil,3315125,62336,79392,42892,High
Twitter,#Fitness,Shorts,Brazil,4357287,106179,4262,12978,Medium
TikTok,#Fitness,Shorts,Canada,907386,52457,77192,32870,High
Twitter,#Gaming,Post,India,1908555,194688,34182,3500,High
Twitter,#Challenge,Post,Japan,3074269,18233,37713,28599,Medium
YouTube,#Dance,Post,Brazil,4067125,190686,12963,11560,High
YouTube,#Fitness,Reel,Japan,1173157,137342,95328,47250,Low
TikTok,#Fitness,Reel,Germany,2141884,23466,66627,40003,High
Twitter,#Comedy,Post,India,4567233,66980,96596,49121,Low
Twitter,#Gaming,Post,UK,506074,69145,31191,43362,Low
YouTube,#Comedy,Tweet,UK,3210080,195970,75414,4473,High
TikTok,#Tech,Video,Germany,128472,444670,64311,7956,Medium
TikTok,#Music,Reel,India,1347102,274212,15298,28342,High
TikTok,#Tech,Live Stream,UK,92085,176687,5641,22316,Medium
TikTok,#Tech,Post,Australia,3843536,90333,10903,30677,Medium
Instagram,#Viral,Reel,Germany,965073,263310,39207,27324,High
